No,Electronic ID,Name,Manufacturer,Price,Tax,Color,Quantity
1,3511,SanDisk Ultra 128GB microSDXC,SanDisk Inc,50,5%,Black-Red,100
2,3512,Apple AirPods Pro,Apple Inc,239,5%,Black-Red,100
3,3513,SamSung Galaxy Note 20,SamSung Electronic,1069,6%,Rainbow,100
4,3514,AMD Ryzen 7 3700X 8-Core,AMD Inc,400,7%,Black,100
5,3515,Macbook Pro 2020,Apple Inc,1056,10%,Gray,100
6,3516,Samsung SSD 860 EVO 1TB 2.5 Inch SATA III,SamSung Electronic,572,5%,White,100
7,3517,WD 2TB Elements Portable External Hard Drive - USB 3.0,Western Digital ,62,6%,Black,100
8,3518,TP-Link N300 WiFi Extender,Xiaomi,20,9%,White,100
9,3519,Logitech M510  Computer Mouse Dark Gray,Logitech,15,7%,Blue,100
10,3520,Samsung Fit Plus USB 3.1 Flash Drive 128GB ,SamSung Electronic,22,5%,Green,100
